16	17	29
26	27	43
65	59	41
47	18	19
31	46	21
39	34	41
37	45	46
40	29	55
17	33	29
13	29	40
34	55	53
34	65	41
29	15	16
14	15	29
40	39	12
33	17	18
43	42	26
13	14	29
63	64	23
34	39	40
33	53	55
21	22	31
12	39	11
35	3	4
41	10	11
42	36	44
26	42	25
50	54	35
61	52	38
54	56	35
27	28	30
37	57	51
1	30	28
5	48	50
42	44	25
42	43	36
47	53	33
2	30	1
32	49	7
32	7	8
45	19	20
36	69	44
48	5	6
5	50	4
19	45	47
30	3	35
39	41	11
49	38	48
3	30	2
65	34	51
69	36	52
24	25	44
12	13	40
9	59	60
27	30	43
43	30	56
36	56	54
69	63	44
46	45	20
47	45	37
21	46	20
46	31	57
37	51	53
47	33	18
49	48	6
50	48	38
7	49	6
49	32	61
38	52	54
50	35	4
37	46	57
59	9	10
38	49	61
63	23	24
37	53	47
51	34	53
38	54	50
52	36	54
40	55	34
33	55	29
43	56	36
35	56	30
70	62	69
67	58	66
58	65	66
9	60	8
41	59	10
60	59	58
67	60	58
32	8	60
32	60	67
31	68	57
70	61	68
23	64	22
44	63	24
64	63	62
62	31	64
31	22	64
66	65	51
59	65	58
51	57	66
68	67	57
57	67	66
61	32	67
62	68	31
67	68	61
70	69	52
63	69	62
61	70	52
68	62	70
