44	18	35
2	1	10
41	6	48
3	2	38
33	3	38
64	43	67
38	12	39
5	37	48
38	39	33
54	34	49
17	53	19
39	12	14
61	37	33
3	33	4
42	43	35
37	5	4
17	47	53
7	34	8
13	34	40
57	63	51
40	54	47
11	9	8
2	10	38
34	13	11
8	34	11
7	41	34
52	36	59
19	46	21
33	37	4
6	41	7
20	22	42
15	47	17
22	24	25
59	36	46
27	50	43
42	35	20
42	26	43
35	65	44
30	45	29
28	50	27
28	56	50
43	26	27
16	51	14
15	13	40
44	51	16
54	49	62
55	34	41
21	36	23
30	36	45
44	16	18
36	30	31
22	25	42
31	32	23
48	6	5
55	41	48
31	23	36
15	40	47
46	36	21
26	42	25
35	18	20
60	67	56
12	38	10
33	63	61
33	39	63
56	28	29
36	52	60
57	51	44
39	14	51
62	66	52
67	60	58
47	54	59
46	19	53
34	54	40
54	62	59
37	55	48
34	55	49
29	45	56
60	56	45
64	35	43
55	61	49
61	57	66
64	65	35
46	53	59
59	53	47
36	60	45
58	60	52
61	55	37
57	65	66
66	49	61
52	59	62
51	63	39
61	63	57
67	43	50
65	64	58
66	65	58
65	57	44
52	66	58
49	66	62
64	67	58
56	67	50
