26	29	25
9	64	8
17	35	65
15	16	44
17	18	35
22	69	48
21	70	20
31	35	18
35	27	53
12	13	26
12	26	30
13	29	26
33	38	39
31	18	19
10	63	42
12	30	11
31	19	34
26	25	30
42	41	51
29	13	14
44	43	55
42	9	10
23	24	40
56	52	45
32	28	37
38	40	24
37	5	6
31	27	35
34	19	20
39	38	1
36	7	8
57	46	45
32	7	36
36	28	32
32	37	6
58	47	59
67	46	4
7	32	6
30	25	49
16	65	44
24	1	38
15	66	14
11	30	63
21	22	48
48	47	60
27	31	34
37	28	56
5	37	67
39	1	2
38	33	40
3	68	2
46	3	4
40	33	59
23	40	69
25	50	49
36	51	28
42	30	49
36	64	42
54	53	27
29	55	25
44	35	53
29	66	44
28	51	52
39	57	33
46	37	56
39	68	46
57	58	33
34	60	27
48	40	59
34	70	48
25	55	50
42	49	41
54	62	43
41	49	50
42	51	36
51	41	52
41	61	52
62	61	50
27	60	54
44	53	43
47	58	54
43	53	54
44	55	29
50	55	43
52	56	28
46	56	45
46	57	39
57	45	58
52	71	45
62	71	61
58	59	33
48	59	47
48	60	34
54	60	47
41	50	61
43	62	50
54	58	62
71	62	58
11	63	10
30	42	63
8	64	36
9	42	64
17	65	16
35	44	65
14	66	29
15	44	66
5	67	4
37	46	67
2	68	39
3	46	68
23	69	22
40	48	69
20	70	34
21	48	70
45	71	58
61	71	52
