11	15	16
6	18	22
34	35	9
21	27	5
39	18	6
26	34	7
36	34	26
7	34	37
26	7	24
42	17	41
5	28	33
23	39	17
11	16	8
18	23	11
16	4	10
13	31	30
21	19	8
12	14	15
15	14	16
4	16	14
16	10	8
40	12	42
15	11	23
19	11	8
18	11	19
36	8	10
22	20	6
22	18	19
28	25	30
32	19	21
20	22	31
40	42	41
35	34	36
27	8	26
19	32	22
27	26	24
5	27	24
8	27	21
33	30	31
31	32	33
25	29	30
25	3	29
13	30	29
20	31	13
32	31	22
33	32	21
5	33	21
33	28	30
37	38	2
8	36	26
10	4	35
35	36	10
15	42	12
9	37	34
37	9	38
18	39	23
42	15	23
17	42	23
41	1	40
