-0.5	-0.5
-0.5	-0.375
-0.5	-0.25
-0.5	-0.125
-0.5	0.
-0.5	0.125
-0.5	0.25
-0.5	0.375
-0.5	0.5
-0.375	-0.5
-0.375	0.5
-0.25	-0.5
-0.25	0.5
-0.125	-0.5
-0.125	0.5
0.	-0.5
0.	0.5
0.125	-0.5
0.125	0.5
0.25	-0.5
0.25	0.5
0.375	-0.5
0.375	0.5
0.5	-0.5
0.5	-0.375
0.5	-0.25
0.5	-0.125
0.5	0.
0.5	0.125
0.5	0.25
0.5	0.375
0.5	0.5
-0.27840948330059784	-0.1875
-0.3125	0.3125
0.1875	-0.27840948330059784
0.3125	0.3125
-0.3627623871340697	-0.0625
-0.3627623871340697	-0.3125
-0.1875	-0.33677674535362934
-0.1875	0.375
-0.375	0.1875
0.3125	-0.3627623871340697
0.33677674535362934	-0.1875
0.0625	-0.3627623871340697
0.375	0.1875
0.1875	0.375
-0.0625	0.390625
-0.390625	0.0625
-0.15625	0.15625
0.3824904547441368	-0.0625
-0.0625	-0.388686083402709
0.15625	0.15625
0.0625	0.39174107142857145
-0.11143092105263158	0.27425986842105265
-0.27425986842105265	0.11143092105263158
0.39138225677472754	0.0625
-0.04343060367346249	-0.16630867188091691
0.17017765812065444	-0.05571412902710482
0.11040656289111389	0.27440620530126947
0.2743590458530351	0.11073667902875431
-0.1551643526207875	-0.024379694668684643
-0.0004397865778442839	0.16459056675274447
-0.1573838069281011	-0.21611570108209815
0.22005705100950387	-0.16385564977773506
0.08825728156909371	-0.15907322498435528
0.014373947757504224	-0.016370971294410765
0.2779878666655532	-0.007363511314748571
