1	7	2
26	58	48
38	10	8
2	7	37
9	37	7
9	11	45
37	3	2
47	63	57
37	9	45
51	59	64
51	64	43
17	51	15
25	57	23
11	55	45
68	44	53
51	17	59
38	49	46
4	38	5
58	63	48
8	6	5
8	5	38
40	34	35
33	42	39
41	38	4
49	41	37
10	46	12
56	12	46
34	40	42
38	46	10
3	37	41
62	14	56
48	28	26
51	43	15
41	4	3
23	53	21
59	17	19
27	47	25
40	48	50
63	68	57
25	47	57
32	39	29
37	45	49
31	32	29
58	26	24
53	44	21
33	39	32
39	50	47
39	47	27
45	55	61
33	34	42
14	62	16
52	60	18
20	65	22
40	28	48
65	20	60
13	15	43
35	30	40
12	56	14
55	11	13
28	40	30
36	30	35
66	46	61
41	49	38
24	22	54
39	27	29
19	21	44
39	42	50
52	18	16
20	18	60
50	42	40
13	43	55
45	61	49
61	46	49
66	52	62
63	47	50
53	23	57
24	54	58
58	54	63
19	44	59
64	52	43
64	60	52
67	54	65
55	43	61
61	43	66
66	62	56
52	16	62
63	50	48
68	63	54
59	44	64
64	44	67
67	65	60
54	22	65
66	56	46
52	66	43
64	67	60
54	67	44
44	68	54
57	68	53
